"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"Intercept",-4.791,0.499,-5.824,-4.775,-3.852,-4.744,0
"Preference1",2.133,0.143,1.855,2.132,2.417,2.13,0
"Preference2",0.806,0.179,0.456,0.805,1.157,0.805,0
"Preference3",0.512,0.308,-0.111,0.518,1.097,0.531,0
"Preference4",0.962,0.283,0.4,0.964,1.512,0.968,0
"Preference5",0.269,0.156,-0.037,0.269,0.576,0.268,0
"DBH",0.312,0.046,0.221,0.312,0.403,0.312,0
"Nitrate",-0.112,0.167,-0.444,-0.11,0.211,-0.106,0
"Ammonium",0.076,0.171,-0.261,0.076,0.41,0.077,0
"Phosphorous",0.186,0.189,-0.194,0.189,0.549,0.195,0
"Elevation",-0.196,0.31,-0.808,-0.196,0.412,-0.195,0
"Prop1",0.76,0.213,0.346,0.758,1.183,0.755,0
"Prop2",-0.029,0.182,-0.387,-0.029,0.329,-0.03,0
"Prop3",0.156,0.192,-0.224,0.157,0.531,0.158,0
"HSuit_1km",0.146,0.339,-0.52,0.146,0.811,0.146,0
"Suit_1km",0.068,0.248,-0.418,0.068,0.556,0.068,0
"Marg_1km",0.171,0.222,-0.265,0.17,0.609,0.169,0
"Preference1:Prop1",-1.29,0.144,-1.573,-1.29,-1.009,-1.289,0
"Preference2:Prop1",-0.363,0.193,-0.744,-0.363,0.015,-0.362,0
"Preference3:Prop1",-0.312,0.382,-1.085,-0.304,0.415,-0.288,0
"Preference1:HSuit_1km",-0.316,0.116,-0.543,-0.316,-0.088,-0.317,0
"Preference2:HSuit_1km",0.116,0.149,-0.177,0.116,0.408,0.117,0
"Preference3:HSuit_1km",-0.231,0.207,-0.638,-0.231,0.176,-0.232,0
